"id","name","neighbourhood","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","availability_365","X","Y","CategX","CategY"
46352,"A room in Pasolini's house","Porto - Saragozza","Private room",29,1,264,"16/02/2020",2.71,355,44.49168,11.33514,"(44.492,44.494]","(44.492,44.494]"
233922,"Big and central studio open space","Porto - Saragozza","Entire home/apt",60,4,19,"07/08/2016",0.2,157,44.49589,11.32976,"(44.496,44.498]","(44.496,44.498]"
246747,"Charming centro Bologna room with rooftop view","Porto - Saragozza","Private room",68,2,20,"20/03/2019",0.19,364,44.49702,11.34291,"(44.496,44.498]","(44.496,44.498]"
266777,"BOLOGNA CENTRE APARTMENT W/ GARDEN","Porto - Saragozza","Entire home/apt",75,3,53,"08/11/2014",0.63,211,44.49487,11.33241,"(44.494,44.496]","(44.494,44.496]"
369531,"independent room kitchen-bathroom","Savena","Private room",50,3,31,"20/02/2015",0.27,177,44.46817,11.37714,"(44.468,44.47]","(44.468,44.47]"
411523,"Melograno's house downtown Bologna","Santo Stefano","Entire home/apt",85,3,100,"26/05/2021",1.02,213,44.4931,11.35442,"(44.492,44.494]","(44.492,44.494]"
510771,"BOLOGNA CITY, NEAR FAIR AND AIRPORT","Borgo Panigale - Reno","Private room",100,1,52,"14/07/2013",0.49,365,44.49596,11.2911,"(44.496,44.498]","(44.496,44.498]"
570880,"sweet loft in bologna's heart","Porto - Saragozza","Entire home/apt",100,2,65,"19/07/2018",0.64,127,44.49147,11.33661,"(44.49,44.492]","(44.49,44.492]"
678013,"CasaSimo-Appartamento su 2 livelli","San Donato - San Vitale","Entire home/apt",65,2,27,"23/04/2017",0.28,327,44.49647,11.36231,"(44.496,44.498]","(44.496,44.498]"
684271,"Ca 'de' Fiori self catering apartm.","Navile","Entire home/apt",120,2,4,"11/11/2018",0.06,365,44.51541,11.34628,"(44.514,44.516]","(44.514,44.516]"
708145,"A little nest in Bologna","Borgo Panigale - Reno","Entire home/apt",1429,2,32,"02/12/2016",0.32,362,44.50815,11.29563,"(44.508,44.51]","(44.508,44.51]"
732204,"V4 - BOLOGNA AT HEART","Porto - Saragozza","Private room",41,1,426,"15/11/2019",4.28,256,44.49779,11.34232,"(44.498,44.5]","(44.498,44.5]"
742415,"IN FIERA 5: large,in the face fair","San Donato - San Vitale","Entire home/apt",179,1,32,"02/04/2019",0.36,231,44.50522,11.36354,"(44.504,44.506]","(44.504,44.506]"
749324,"Quiet Studio in Old Town","Porto - Saragozza","Entire home/apt",68,2,333,"12/02/2020",3.15,321,44.49561,11.3361,"(44.496,44.498]","(44.496,44.498]"
